"landarea"	"housearea"	"price"
758.552881784386	173.426638230233	1078.85605443365
770.946601750952	251.167430379699	1076.15602218108
689.069668531895	173.875125243697	1061.88227494097
654.650282653724	174.212455880088	832.244450650539
760.588745584039	170.017890226192	1063.31914534604
518.204403229627	137.889711651591	772.376305422045
763.009855106839	211.487601962956	1093.38838684064
672.381589477478	192.809257230552	1225.78062525974
671.584025605663	232.247957015824	1063.68233443971
608.067799752587	81.6086305872456	816.592765525319
688.3752193648	176.581564259656	868.56759051257
881.731204370422	180.156856640719	980.465392845193
737.062786425795	200.864788871566	1245.3163225252
752.021645755496	235.704296719736	1330.92938724985
624.946800549767	138.630312305829	892.538253577353
781.689983952058	140.451176801733	939.305567222121
611.364247875679	179.48524494848	969.530607422729
666.842241005745	214.515214422124	1154.59904846071
812.071265166956	218.52345641161	1435.88995962157
729.872369926729	143.597942072838	966.837229319407
777.962192455532	196.129015373764	1294.41897846536
845.578508247686	187.855145866175	1291.63163874048
635.56715707687	127.411204700529	924.820892690717
544.686259477031	206.086923741399	1172.70021753724
540.229048330369	177.138423568615	877.865512934823
880.509751881082	248.405463491016	1136.05825537251
651.835263630536	187.746564522207	795.15009249216
762.037980129842	166.163280326728	1178.42838317822
761.212349265085	204.590535738881	861.082495315042
683.768902308187	201.57997780148	919.897514814572
781.187317855386	214.658321690029	1345.09207298537
919.683354634753	261.215145205232	1430.27888317076
904.919033740619	217.098685054345	1290.13389727737
863.244563948047	290.124468495901	1206.03658748494
725.427119281405	210.493400011475	1424.93766424893
749.118827927256	243.292682518816	1060.30701656779
667.591342126288	187.059109602016	903.33832164552
533.794975614137	124.210142478414	898.96786862703
876.773385087297	235.28905777315	1262.14342183982
702.580104864781	200.391128176745	1021.62109522594
812.851083359018	174.29572646934	949.470405572316
461.964193860296	89.8385731320802	551.609827776433
593.973444784747	205.101769456957	945.223753496254
793.714054018291	186.673932344717	919.478607473908
785.445172033055	166.942304539764	1057.05439546723
846.072940310409	232.138198094313	1286.74050849794
558.690122211081	124.521225027143	648.581487335451
756.740325342448	253.916675830805	1313.83589845849
758.318765343569	171.585764421147	1155.68437016833
569.320116653558	121.493628365267	851.222246339836
